,name_2,root_1,pitch_class_smaller,cents_diff,matched_pitch_class,n_edo
2,just diatonic,E,G,-48.9746203338858,G,9
4,just diatonic,E,A,35.28833419872077,A,9
5,just diatonic,E,B,-35.28833419872052,B,9
6,just diatonic,E,C,-13.686286135165112,C,9
8,just diatonic,E,D,49.07037880072658,D#,9
0,just diatonic,F,F,0.0,F,9
2,just diatonic,F,G,62.756664935891514,G#,9
3,just diatonic,F,A,13.686286135164837,A,9
4,just diatonic,F,B,-56.89038226227653,A#,9
5,just diatonic,F,C,-35.28833419872091,C,9
7,just diatonic,F,D,27.468330737170756,D,9
8,just diatonic,F,E,-21.60204806355614,E,9
0,just diatonic,G,G,0.0,G,9
1,just diatonic,G,A,-49.07037880072694,G#,9
3,just diatonic,G,B,13.686286135165219,B,9
4,just diatonic,G,C,35.28833419872077,C,9
5,just diatonic,G,D,-35.28833419872091,D,9
7,just diatonic,G,E,48.97462033388541,E,9
8,just diatonic,G,F,-62.75666493589183,E,9
0,just diatonic,A,A,0.0,A,9
2,just diatonic,A,C,-48.9746203338858,C,9
3,just diatonic,A,B,62.756664935891884,C,9
5,just diatonic,A,D,13.782044602006016,D,9
6,just diatonic,A,E,-35.28833419872071,E,9
7,just diatonic,A,F,-13.686286135164918,F,9
9,just diatonic,A,G,49.07037880072658,G#,9
0,just diatonic,B,B,0.0,B,9
1,just diatonic,B,C,21.602048063555493,C,9
2,just diatonic,B,D,-48.974620333886,D,9
4,just diatonic,B,E,35.288334198720385,E,9
5,just diatonic,B,F,56.89038226227648,F#,9
6,just diatonic,B,G,-13.6862861351655,G,9
7,just diatonic,B,A,-62.75666493589223,G#,9
0,just diatonic,C,C,0.0,C,10
2,just diatonic,C,D,36.08999826922522,D,10
3,just diatonic,C,E,-26.313713864834934,E,10
4,just diatonic,C,F,-18.044999134612468,F,10
6,just diatonic,C,G,18.044999134612222,G,10
7,just diatonic,C,A,-44.35871299944766,G#,10
9,just diatonic,C,B,-8.268714730222182,B,10
0,just diatonic,D,D,0.0,D,10
2,just diatonic,D,E,57.59628786594012,E,10
3,just diatonic,D,F,-54.134997403837495,E,10
5,just diatonic,D,G,-18.044999134612468,G,10
7,just diatonic,D,A,39.55128873132722,A,10
8,just diatonic,D,B,-44.35871299944727,A#,10
9,just diatonic,D,C,-36.08999826922519,C,10
0,just diatonic,E,E,0.0,E,10
1,just diatonic,E,F,8.26871473022266,F,10
3,just diatonic,E,G,44.3587129994475,G,10
4,just diatonic,E,A,-18.044999134612663,A,10
6,just diatonic,E,B,18.044999134612603,B,10
7,just diatonic,E,C,26.313713864835044,C,10
8,just diatonic,E,D,-57.596287865939786,C#,10
0,just diatonic,F,F,0.0,F,10
2,just diatonic,F,G,36.08999826922522,G,10
3,just diatonic,F,A,-26.31371386483513,A,10
5,just diatonic,F,B,9.776284404390458,B,10
6,just diatonic,F,C,18.044999134612222,C,10
8,just diatonic,F,D,54.13499740383727,D#,10
9,just diatonic,F,E,-8.268714730222761,E,10
0,just diatonic,G,G,0.0,G,10
2,just diatonic,G,A,57.59628786594012,A,10
3,just diatonic,G,B,-26.31371386483474,B,10
4,just diatonic,G,C,-18.044999134612663,C,10
6,just diatonic,G,D,18.044999134612222,D,10
7,just diatonic,G,E,-44.35871299944786,D#,10
8,just diatonic,G,F,-36.089998269225,F,10
0,just diatonic,A,A,0.0,A,10
2,just diatonic,A,B,36.089998269225596,B,10
3,just diatonic,A,C,44.3587129994475,C,10
4,just diatonic,A,D,-39.551288731327546,D,10
6,just diatonic,A,E,18.044999134612222,E,10
7,just diatonic,A,F,26.313713864835044,F,10
8,just diatonic,A,G,-57.59628786593998,F#,10
0,just diatonic,B,B,0.0,B,10
1,just diatonic,B,C,8.268714730222277,C,10
3,just diatonic,B,D,44.3587129994475,D,10
4,just diatonic,B,E,-18.044999134612663,E,10
5,just diatonic,B,F,-9.776284404390282,F,10
7,just diatonic,B,G,26.313713864834664,G,10
8,just diatonic,B,A,-36.08999826922539,G#,10
0,just diatonic,C,C,0.0,C,11
2,just diatonic,C,D,14.27181645104326,D,11
4,just diatonic,C,E,50.0499224988014,E,11
5,just diatonic,C,F,47.40954631993287,F,11
6,just diatonic,C,G,-47.40954631993299,G,11
8,just diatonic,C,A,-11.631440272174876,A,11
10,just diatonic,C,B,2.640376178868571,B,11
0,just diatonic,D,D,0.0,D,11
2,just diatonic,D,E,35.778106047758016,E,11
3,just diatonic,D,F,33.137729868889686,F,11
5,just diatonic,D,G,47.40954631993287,G,11
6,just diatonic,D,A,-25.90325672321818,A,11
8,just diatonic,D,B,-11.631440272174682,B,11
9,just diatonic,D,C,-14.271816451043184,C,11
0,just diatonic,E,E,0.0,E,11
1,just diatonic,E,F,-2.640376178868224,F,11
3,just diatonic,E,G,11.631440272174524,G,11
5,just diatonic,E,A,47.409546319932495,A,11
6,just diatonic,E,B,-47.409546319932794,A#,11
7,just diatonic,E,C,-50.04992249880156,B,11
9,just diatonic,E,D,-35.77810604775799,D,11
0,just diatonic,F,F,0.0,F,11
2,just diatonic,F,G,14.27181645104326,G,11
4,just diatonic,F,A,50.049922498801024,A,11
5,just diatonic,F,B,-44.76917014106444,A#,11
6,just diatonic,F,C,-47.40954631993319,C,11
8,just diatonic,F,D,-33.137729868889664,D,11
10,just diatonic,F,E,2.6403761788681868,E,11
0,just diatonic,G,G,0.0,G,11
2,just diatonic,G,A,35.778106047758016,A,11
4,just diatonic,G,B,50.0499224988014,B,11
5,just diatonic,G,C,47.40954631993287,C,11
6,just diatonic,G,D,-47.409546319932794,D,11
8,just diatonic,G,E,-11.631440272174682,E,11
9,just diatonic,G,F,-14.271816451043184,F,11
0,just diatonic,A,A,0.0,A,11
2,just diatonic,A,B,14.271816451043641,B,11
3,just diatonic,A,C,11.631440272174524,C,11
5,just diatonic,A,D,25.903256723217975,D,11
6,just diatonic,A,E,-47.40954631993299,D#,11
7,just diatonic,A,F,-50.049922498801365,E,11
9,just diatonic,A,G,-35.77810604775799,G,11
0,just diatonic,B,B,0.0,B,11
1,just diatonic,B,C,-2.640376178868994,C,11
3,just diatonic,B,D,11.631440272174524,D,11
5,just diatonic,B,E,47.409546319932495,E,11
6,just diatonic,B,F,44.76917014106428,F,11
7,just diatonic,B,G,-50.049922498801756,G,11
