tonic,deg,harm_num_match_deg,harm_cents_match_deg
21,5,55,466.8507
21,6,29,558.7963
21,6,59,588.3908
21,6,61,646.1039
21,7,1,729.2191
21,7,31,674.2547
21,8,17,834.1745
21,10,19,1026.7321
21,10,37,980.5631
21,11,5,1115.5328
23,1,3,73.6807
23,1,25,144.3531
23,1,49,109.3775
23,2,13,212.2533
23,2,51,178.6361
23,2,53,245.2302
23,3,7,340.5516
23,3,27,277.5907
23,3,55,309.3573
23,4,29,401.3028
23,4,57,371.1937
23,4,59,430.8973
23,5,15,459.9944
23,5,31,516.7612
23,5,61,488.6105
23,5,63,544.4616
23,6,1,571.7257
23,6,33,624.9986
23,7,17,676.6811
23,7,35,726.8653
23,8,9,775.6357
23,8,37,823.0697
23,9,19,869.2387
23,9,39,914.2083
23,10,5,958.0394
23,10,21,1042.5066
23,10,41,1000.7881
23,11,11,1123.0436
23,11,43,1083.2434
25,1,13,67.9002
25,1,27,133.2376
25,1,53,100.8771
25,2,7,196.1985
25,2,57,226.8406
25,3,29,256.9498
25,3,59,286.5442
25,3,61,344.2574
25,4,1,427.3726
25,4,31,372.4081
25,4,63,400.1085
25,5,17,532.328
25,5,33,480.6455
25,6,9,631.2826
25,7,19,724.8856
25,7,37,678.7166
25,8,39,769.8552
25,9,21,898.1535
25,9,41,856.435
25,9,43,938.8903
25,10,11,978.6905
25,11,3,1129.3276
25,11,23,1055.6469
25,11,47,1092.8792
27,1,7,62.9609
27,1,29,123.7122
27,2,31,239.1706
27,2,59,153.3067
27,2,61,211.0198
27,3,1,294.135
27,4,17,399.0904
27,4,35,449.2746
27,5,37,545.479
27,6,19,591.648
27,7,5,680.4487
27,7,41,723.1974
27,8,11,845.4529
27,8,43,805.6527
27,9,23,922.4093
27,10,47,959.6416
27,10,49,1031.7868
27,11,13,1134.6627
27,11,25,1066.7624
29,1,15,58.6915
29,1,31,115.4584
29,1,61,87.3076
29,1,63,143.1587
29,2,1,170.4228
29,2,33,223.6957
29,3,17,275.3782
29,3,35,325.5624
29,4,9,374.3328
29,4,37,421.7668
29,5,19,467.9358
29,5,39,512.9055
29,6,5,556.7365
29,6,21,641.2037
29,6,41,599.4852
29,7,11,721.7407
29,7,43,681.9405
29,8,23,798.6972
29,8,45,760.6465
29,8,47,835.9294
29,9,3,872.3778
29,9,25,943.0502
29,9,49,908.0746
29,10,13,1010.9505
29,10,51,977.3332
29,10,53,1043.9274
29,11,7,1139.2487
29,11,27,1076.2878
29,11,55,1108.0545
31,1,1,54.9644
31,1,33,108.2374
31,2,17,159.9198
31,2,35,210.104
31,3,9,258.8744
31,3,37,306.3085
31,4,5,441.2781
31,4,19,352.4774
31,4,39,397.4471
31,5,21,525.7453
31,5,41,484.0268
31,6,11,606.2824
31,6,43,566.4821
31,6,45,645.1881
31,7,23,683.2388
31,7,47,720.471
31,8,3,756.9194
31,8,25,827.5919
31,8,49,792.6162
31,9,13,895.4921
31,9,51,861.8748
31,9,53,928.469
31,10,7,1023.7903
31,10,27,960.8294
31,10,55,992.5961
31,11,15,1143.2331
31,11,29,1084.5416
31,11,57,1054.4324
31,11,59,1114.1361
33,1,17,51.6825
33,1,35,101.8667
33,2,19,244.2401
33,2,37,198.0711
33,3,5,333.0408
33,4,41,375.7895
33,5,43,458.2448
33,6,23,575.0014
33,6,47,612.2337
33,7,25,719.3545
33,7,49,684.3789
33,8,13,787.2547
33,8,53,820.2316
33,9,7,915.553
33,10,29,976.3043
33,10,59,1005.8987
33,11,1,1146.7271
33,11,31,1091.7626
33,11,61,1063.6119
35,1,19,142.3734
35,1,37,96.2044
35,2,39,187.343
35,3,41,273.9228
35,4,11,396.1783
35,4,43,356.3781
35,5,3,546.8154
35,5,23,473.1347
35,5,47,510.367
35,7,13,685.388
35,7,51,651.7708
35,7,53,718.3649
35,8,27,750.7254
35,8,57,844.3284
35,9,29,874.4376
35,9,59,904.032
35,10,1,1044.8604
35,10,31,989.896
35,10,61,961.7452
35,11,17,1149.8158
35,11,33,1098.1333
37,1,5,134.9697
37,1,39,91.1386
37,2,21,219.4369
37,2,41,177.7184
37,3,11,299.9739
37,3,43,260.1737
37,3,45,338.8797
37,4,23,376.9303
37,4,47,414.1626
37,5,3,450.611
37,5,25,521.2834
37,5,49,486.3078
37,6,13,589.1836
37,6,51,555.5664
37,6,53,622.1605
37,7,7,717.4819
37,7,27,654.521
37,7,55,686.2876
37,7,57,748.124
37,8,15,836.9247
37,8,29,778.2332
37,8,59,807.8276
37,9,1,948.656
37,9,31,893.6915
37,9,61,865.5408
37,9,63,921.3919
37,10,33,1001.9289
37,11,17,1053.6114
37,11,35,1103.7956
39,1,41,86.5797
39,2,11,208.8353
39,2,43,169.035
39,3,23,285.7917
39,3,47,323.024
39,4,25,430.1448
39,4,49,395.1692
39,5,53,531.0219
39,6,7,626.3432
39,6,55,595.149
39,7,29,687.0945
39,7,59,716.689
39,8,31,802.5529
39,8,61,774.4021
39,9,1,857.5173
39,10,17,962.4727
39,10,35,1012.657
39,11,37,1108.8614
41,1,11,122.2555
41,1,43,82.4553
41,2,23,199.2119
41,2,45,161.1613
41,2,47,236.4442
41,3,3,272.8926
41,3,25,343.565
41,3,49,308.5894
41,4,13,411.4653
41,4,51,377.848
41,4,53,444.4421
41,5,7,539.7635
41,5,27,476.8026
41,5,55,508.5693
41,6,29,600.5148
41,6,57,570.4056
41,6,59,630.1093
41,7,15,659.2063
41,7,31,715.9732
41,7,61,687.8224
41,7,63,743.6735
41,8,1,770.9376
41,8,33,824.2105
41,9,17,875.893
41,9,35,926.0772
41,10,9,974.8476
41,10,37,1022.2816
41,11,19,1068.4506
41,11,39,1113.4203
